dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,moiraic_base_11,4525709.193859007,4525709.193859007,355.60605087263065,0.9630144861556544,4.442059917263221,0.8214040274918483,22.339332316793183,2127.371428279276,5.622007452831834,0.9397606086564274,0.7730403495135114,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,moiraic_base_11,3438709.992855153,3438709.992855153,295.6832161073955,1.04482353598095,4.702778171236336,0.8060486535789023,26.124443428021827,1854.3759038703972,5.634105989933486,0.8983672487959081,0.6888647594243151,Web/CloudOps,2
bitbrains_fast_storage/5T/short,moiraic_base_11,1774861.0055694878,1774861.0055694878,163.6009428989838,0.7322693866599278,1.9283675299210892,0.748536820211385,15.259756214693668,1332.2390947459423,4.182901275465631,0.513666499818518,0.3988748422550243,Web/CloudOps,2
bitbrains_fast_storage/H/short,moiraic_base_11,2362484.158171178,2362484.158171178,270.50819666863737,1.0206189536032662,2.5595539424664984,0.589660715916786,21.432511180661383,1537.0374615379997,4.381055992083214,0.771036221028019,0.5885442507773283,Web/CloudOps,2
bitbrains_rnd/5T/long,moiraic_base_11,3044137.046185757,3044137.046185757,212.49095588277197,3.4739916016354715,2.755481010672028,0.7051070790233037,123.35432347103324,1744.745553421976,6.68372729317568,0.8140049983799452,0.7329370014310261,Web/CloudOps,2
bitbrains_rnd/5T/medium,moiraic_base_11,2549615.3676346717,2549615.3676346717,174.29978576731304,4.5163215133394266,1.3631366464659522,0.7166499049487033,166.2884446861287,1596.7515046602184,6.718347608371851,0.7333680572286284,0.678571352104623,Web/CloudOps,2
bitbrains_rnd/5T/short,moiraic_base_11,1945931.3124764191,1945931.3124764191,132.4869537233963,1.742816245705813,1.2766311340873373,0.6704914535757965,56.9205920391302,1394.9664198382766,5.70779990219838,0.5420983693590508,0.4617357550761845,Web/CloudOps,2
bitbrains_rnd/H/short,moiraic_base_11,1752150.406206044,1752150.406206044,147.98609061314522,5.94358339157193,1.2875599228038233,0.5732977749934399,204.4278151628908,1323.6881831481476,5.793107271882293,0.6476595534981022,0.560259892597983,Web/CloudOps,2
bizitobs_application/10S/long,moiraic_base_11,20420931.12888889,20420931.12888889,2282.6286111111112,7.113910051929596,0.1078323109944661,0.0982161712646484,203.75827191060583,4518.95243711293,0.174277932730334,0.0880318616032418,0.0861306755047564,Web/CloudOps,2
bizitobs_application/10S/medium,moiraic_base_11,21420320.426666666,21420320.426666666,2032.5541666666663,6.706663780161481,0.1033838399251302,0.0917816225687662,166.27936081680824,4628.209202992737,0.1817361537679386,0.0798124199606491,0.0769112974057899,Web/CloudOps,2
bizitobs_application/10S/short,moiraic_base_11,7516644.693333333,7516644.693333333,1118.8738888888888,2.899637499545796,0.0447565884060329,0.0437555228339301,36.24182755308709,2741.6499946808185,0.1057344816066192,0.0431504936276964,0.036881728258906,Web/CloudOps,2
bizitobs_l2c/5T/long,moiraic_base_11,396.8896031746032,396.8896031746032,14.298741319444444,1.413663720957523,0.9438683688295676,1.2202078683035715,40.62338247016954,19.922088323632217,1.118595475796403,0.8028529484301327,0.7489797922296495,Web/CloudOps,7
bizitobs_l2c/5T/medium,moiraic_base_11,194.71779336734693,194.71779336734693,9.414099702380952,0.9223782171849454,0.6230898962538969,0.9127956260629252,19.19703248137971,13.954131766876325,0.7341925353321055,0.4953200846767919,0.4391891933770683,Web/CloudOps,7
bizitobs_l2c/5T/short,moiraic_base_11,25.38096952892485,25.38096952892485,3.042480414254325,0.3217344226492499,0.1612065417668429,0.22232392174857,3.282734204624972,5.037952910550559,0.1730236950427427,0.1044910924568228,0.0838464916130328,Web/CloudOps,7
bizitobs_l2c/H/long,moiraic_base_11,115.16054067460315,115.16054067460315,7.134642392113095,0.7936203229295777,0.7068314177879615,0.9262280660962302,11.944647852121118,10.731287931772364,0.6554980392769424,0.4358045491562803,0.3723873112568555,Web/CloudOps,7
bizitobs_l2c/H/medium,moiraic_base_11,126.11988467261904,126.11988467261904,7.457927594866072,0.7825133206587844,0.7532446356960171,0.9086421421595984,9.253906198124772,11.230310978446637,0.6800123876077658,0.4515888438106458,0.3744647492267688,Web/CloudOps,7
bizitobs_l2c/H/short,moiraic_base_11,102.91252790178572,102.91252790178572,6.351299467540922,0.6202263764245018,0.5965713025282898,0.7248051355755518,4.591720866142757,10.144581208792491,0.546818907875409,0.3423513072595124,0.2727841336883658,Web/CloudOps,7
bizitobs_service/10S/long,moiraic_base_11,209436.22772486773,209436.22772486773,126.40791005291004,3.5304105787966726,0.5063324136078042,0.1536104135664682,97.75217363460057,457.6420301118197,0.3390358463547968,0.093647020926504,0.0911531410125475,Web/CloudOps,2
bizitobs_service/10S/medium,moiraic_base_11,112076.81015873016,112076.81015873016,97.4359126984127,3.596252921796681,0.6465059213789682,0.1490698145306299,90.16497693197034,334.7787480691243,0.2519623748947576,0.0733325639848001,0.0696358616083077,Web/CloudOps,2
bizitobs_service/10S/short,moiraic_base_11,39479.53671957672,39479.53671957672,51.45098710317461,1.847933818548497,0.1227737895016947,0.0868449595617869,24.517936187284583,198.6945815053262,0.1471993024126326,0.0381165372132991,0.0323778846836363,Web/CloudOps,2
car_parts/M/short,moiraic_base_11,2.044964560636316,2.044964560636316,0.4933850680022216,0.8761997175498677,0.8205449420679054,1.889373215733256,14.289245404945024,1.430022573470893,3.429047438838933,1.1830867814121446,1.0071337334327757,Sales,1
covid_deaths/D/short,moiraic_base_11,399174.1746867168,399174.1746867168,119.06293174342105,36.61309538057312,0.0958617125241147,0.373483593780594,864.9391537871439,631.8023224765138,0.2377186873271086,0.0447980053831083,0.0381731033465303,Healthcare,1
electricity/15T/long,moiraic_base_11,431260.0934316817,431260.0934316817,69.02239912959836,1.0124605608945851,0.1753890244648327,0.1575440809461805,12.348903114545726,656.7039617907614,1.0360310285817749,0.1088912985547113,0.0908617283103519,Energy,1
electricity/15T/medium,moiraic_base_11,307467.96584234235,307467.96584234235,62.65746642736487,0.9709613183140184,0.1675372807938768,0.1557913625906179,11.244612986434158,554.4979403409379,0.9554557646760908,0.1079651214956993,0.0901185041835427,Energy,1
